"['Tacc_S3bicep2_0t.csv', 7]"
"['Tacc_S3squat1_0t.csv', 14]"
"['Tacc_S3elbow2_0t.csv', 7]"
"['Tacc_S3lift1_0t.csv', 8]"
"['Tacc_S3bridge2_0t.csv', 4]"
"['Tacc_S3upper2_0t.csv', 2]"
"['Tacc_S3lunge1_0t.csv', 3]"
"['Tacc_S3bicep1_0t.csv', 15]"
"['Tacc_S3pushup1_0t.csv', 4]"
"['Tacc_S4lunge1_0t.csv', 19]"
"['Tacc_S4crunch1_0t.csv', 1]"
"['Tacc_S4lift1_0t.csv', 16]"
"['Tacc_S4lift2_0t.csv', 2]"
"['Tacc_S4lunge2_0t.csv', 25]"
"['Tacc_S4squat2_0t.csv', 4]"
"['Tacc_S4bicep2_0t.csv', 4]"
"['Tacc_S4elbow1_0t.csv', 10]"
"['Tacc_S4upper1_0t.csv', 3]"
"['Tacc_S4arm1_0t.csv', 6]"
"['Tacc_S4pushup2_0t.csv', 18]"
"['Tacc_S4bicep1_0t.csv', 8]"
"['Tacc_S4bridge2_0t.csv', 2]"
"['Tacc_S4pushup1_0t.csv', 1]"
"['Tacc_S4elbow2_0t.csv', 16]"
"['Tacc_S4arm2_0t.csv', 0]"
"['Tacc_S4crunch2_0t.csv', 2]"
"['Tacc_S4upper2_0t.csv', 7]"
"['Tacc_S4bridge1_0t.csv', 10]"
"['Tacc_S5crunch1_0t.csv', 10]"
"['Tacc_S5lunge2_0t.csv', 17]"
"['Tacc_S5pushup2_0t.csv', 25]"
"['Tacc_S5bicep2_0t.csv', 10]"
"['Tacc_S5arm1_0t.csv', 0]"
"['Tacc_S5elbow1_0t.csv', 1]"
"['Tacc_S5crunch2_0t.csv', 8]"
"['Tacc_S5squat1_0t.csv', 9]"
"['Tacc_S5arm2_0t.csv', 1]"
"['Tacc_S5lunge1_0t.csv', 18]"
"['Tacc_S5upper2_0t.csv', 6]"
"['Tacc_S5pushup1_0t.csv', 31]"
"['Tacc_S5elbow2_0t.csv', 5]"
"['Tacc_S5lift2_0t.csv', 19]"
"['Tacc_S5squat2_0t.csv', 8]"
"['Tacc_S5upper1_0t.csv', 22]"
"['Tacc_S5bridge2_0t.csv', 14]"
"['Tacc_S5bridge1_0t.csv', 5]"
"['Tacc_S5bicep1_0t.csv', 19]"
"['Tacc_S5lift1_0t.csv', 2]"
"['Tacc_S6lunge1_0t.csv', 3]"
"['Tacc_S6lunge2_0t.csv', 2]"
"['Tacc_S6bridge2_0t.csv', 28]"
"['Tacc_S6elbow2_0t.csv', 2]"
"['Tacc_S6lift1_0t.csv', 6]"
"['Tacc_S6upper2_0t.csv', 8]"
"['Tacc_S6arm2_0t.csv', 1]"
"['Tacc_S6crunch1_0t.csv', 7]"
"['Tacc_S6upper1_0t.csv', 19]"
"['Tacc_S6elbow1_0t.csv', 7]"
"['Tacc_S6squat1_0t.csv', 0]"
"['Tacc_S6bridge1_0t.csv', 20]"
"['Tacc_S6lift2_0t.csv', 11]"
"['Tacc_S6bicep1_0t.csv', 9]"
"['Tacc_S6pushup2_0t.csv', 4]"
"['Tacc_S6arm1_0t.csv', 1]"
"['Tacc_S6crunch2_0t.csv', 5]"
"['Tacc_S6pushup1_0t.csv', 16]"
"['Tacc_S6squat2_0t.csv', 0]"
"['Tacc_S6bicep2_0t.csv', 6]"
"['Tacc_S7lunge2_0t.csv', 0]"
"['Tacc_S7lunge1_0t.csv', 0]"
"['Tacc_S7upper1_0t.csv', 11]"
"['Tacc_S7lift2_0t.csv', 15]"
"['Tacc_S7pushup1_0t.csv', 1]"
"['Tacc_S7bicep2_0t.csv', 8]"
"['Tacc_S7squat2_0t.csv', 1]"
"['Tacc_S7arm2_0t.csv', 1]"
"['Tacc_S7elbow1_0t.csv', 13]"
"['Tacc_S7upper2_0t.csv', 19]"
"['Tacc_S7squat1_0t.csv', 4]"
"['Tacc_S7bridge2_0t.csv', 18]"
"['Tacc_S7lift1_0t.csv', 17]"
"['Tacc_S7crunch1_0t.csv', 13]"
"['Tacc_S7pushup2_0t.csv', 7]"
"['Tacc_S7crunch2_0t.csv', 4]"
"['Tacc_S7elbow2_0t.csv', 12]"
"['Tacc_S7arm1_0t.csv', 1]"
"['Tacc_S7bridge1_0t.csv', 10]"
"['Tacc_S7bicep1_0t.csv', 19]"
"['Tacc_S8pushup1_0t.csv', 3]"
"['Tacc_S8pushup2_0t.csv', 1]"
"['Tacc_S8lunge2_0t.csv', 9]"
"['Tacc_S8bicep1_0t.csv', 8]"
"['Tacc_S8lunge1_0t.csv', 14]"
"['Tacc_S8crunch1_0t.csv', 1]"
"['Tacc_S8lift1_0t.csv', 7]"
"['Tacc_S8upper2_0t.csv', 15]"
"['Tacc_S8bridge2_0t.csv', 11]"
"['Tacc_S8crunch2_0t.csv', 8]"
"['Tacc_S8lift2_0t.csv', 2]"
"['Tacc_S8elbow2_0t.csv', 2]"
"['Tacc_S8bicep2_0t.csv', 22]"
"['Tacc_S8arm2_0t.csv', 1]"
"['Tacc_S8squat1_0t.csv', 6]"
"['Tacc_S8upper1_0t.csv', 18]"
"['Tacc_S8squat2_0t.csv', 6]"
"['Tacc_S8arm1_0t.csv', 0]"
"['Tacc_S8bridge1_0t.csv', 5]"
"['Tacc_S8elbow1_0t.csv', 13]"
"['Tacc_S9elbow2_0t.csv', 9]"
"['Tacc_S9lunge1_0t.csv', 0]"
"['Tacc_S9lift1_0t.csv', 9]"
"['Tacc_S9arm2_0t.csv', 2]"
"['Tacc_S9lift2_0t.csv', 5]"
"['Tacc_S9crunch1_0t.csv', 15]"
"['Tacc_S9pushup1_0t.csv', 1]"
"['Tacc_S9upper1_0t.csv', 45]"
"['Tacc_S9bicep1_0t.csv', 19]"
"['Tacc_S9squat2_0t.csv', 13]"
"['Tacc_S9lunge2_0t.csv', 4]"
"['Tacc_S9upper2_0t.csv', 14]"
"['Tacc_S9squat1_0t.csv', 5]"
"['Tacc_S9pushup2_0t.csv', 1]"
"['Tacc_S9bicep2_0t.csv', 18]"
"['Tacc_S9bridge2_0t.csv', 16]"
"['Tacc_S9bridge1_0t.csv', 12]"
"['Tacc_S9elbow1_0t.csv', 3]"
"['Tacc_S10elbow1_0.csv', 13]"
"['Tacc_S10bicep2_0.csv', 14]"
"['Tacc_S10lift2_0.csv', 14]"
"['Tacc_S10lift1_0.csv', 17]"
"['Tacc_S10lunge2_0.csv', 15]"
"['Tacc_S10squat2_0.csv', 8]"
"['Tacc_S10squat1_0.csv', 8]"
"['Tacc_S10bicep1_0.csv', 26]"
"['Tacc_S10bridge2_0.csv', 23]"
"['Tacc_S10upper1_0.csv', 20]"
"['Tacc_S10arm1_0t.csv', 0]"
"['Tacc_S10arm2_0.csv', 0]"
"['Tacc_S10crunch1_0.csv', 8]"
"['Tacc_S10bridge1_0.csv', 15]"
"['Tacc_S10crunch2_0.csv', 6]"
"['Tacc_S10elbow2_0.csv', 23]"
"['Tacc_S11pushup1_0.csv', 7]"
"['Tacc_S11lift2_0.csv', 8]"
"['Tacc_S11crunch1_0.csv', 6]"
"['Tacc_S11bicep1_0.csv', 25]"
"['Tacc_S11lunge1_0.csv', 24]"
"['Tacc_S11upper2_0.csv', 37]"
"['Tacc_S11arm2_0.csv', 7]"
"['Tacc_S11elbow2_0.csv', 1]"
"['Tacc_S11squat2_0.csv', 2]"
"['Tacc_S11squat1_0.csv', 6]"
"['Tacc_S11lunge2_0.csv', 28]"
"['Tacc_S11pushup2_0.csv', 17]"
"['Tacc_S11crunch2_0.csv', 11]"
"['Tacc_S11upper1_0.csv', 34]"
"['Tacc_S11lift1_0.csv', 5]"
"['Tacc_S11bicep2_0.csv', 19]"
"['Tacc_S11bridge1_0.csv', 6]"
"['Tacc_S11elbow1_0.csv', 0]"
"['Tacc_S11bridge2_0.csv', 18]"
"['Tacc_S12bicep2_0.csv', 4]"
"['Tacc_S12crunch2_0.csv', 8]"
"['Tacc_S12squat2_0.csv', 26]"
"['Tacc_S12arm2_0.csv', 1]"
"['Tacc_S12elbow1_0.csv', 21]"
"['Tacc_S12crunch1_0.csv', 2]"
"['Tacc_S12lift1_0.csv', 17]"
"['Tacc_S12bridge1_0.csv', 7]"
"['Tacc_S12bicep1_0.csv', 23]"
"['Tacc_S12squat1_0.csv', 1]"
"['Tacc_S12elbow2_0.csv', 3]"
"['Tacc_S12lunge1_0.csv', 29]"
"['Tacc_S12upper1_0.csv', 4]"
"['Tacc_S12upper2_0.csv', 12]"
"['Tacc_S12lift2_0.csv', 18]"
"['Tacc_S12pushup1_0.csv', 10]"
"['Tacc_S12lunge2_0.csv', 27]"
"['Tacc_S12bridge2_0.csv', 3]"
"['Tacc_S12arm1_0.csv', 0]"
"['Tacc_S13upper1_0.csv', 12]"
"['Tacc_S13elbow2_0.csv', 9]"
"['Tacc_S13lift1_0.csv', 22]"
"['Tacc_S13lunge2_0.csv', 9]"
"['Tacc_S13arm2_0.csv', 1]"
"['Tacc_S13crunch1_0.csv', 3]"
"['Tacc_S13squat1_0.csv', 0]"
"['Tacc_S13elbow1_0.csv', 2]"
"['Tacc_S13bridge1_0.csv', 12]"
"['Tacc_S13bicep1_0.csv', 21]"
"['Tacc_S13pushup2_0.csv', 5]"
"['Tacc_S13pushup1_0.csv', 1]"
"['Tacc_S13bicep2_0.csv', 21]"
"['Tacc_S13lift2_0.csv', 18]"
"['Tacc_S13upper2_0.csv', 13]"
"['Tacc_S13arm1_0.csv', 2]"
"['Tacc_S13squat2_0.csv', 0]"
"['Tacc_S13bridge2_0.csv', 1]"
"['Tacc_S13crunch2_0.csv', 10]"
"['Tacc_S14arm1_0.csv', 0]"
"['Tacc_S14lunge2_0.csv', 3]"
"['Tacc_S14pushup2_0.csv', 1]"
"['Tacc_S14squat2_0.csv', 22]"
"['Tacc_S14lunge1_0.csv', 8]"
"['Tacc_S14bicep2_0.csv', 14]"
"['Tacc_S14arm2_0.csv', 3]"
"['Tacc_S14elbow2_0.csv', 28]"
"['Tacc_S14bicep1_0.csv', 14]"
"['Tacc_S14elbow1_0.csv', 29]"
"['Tacc_S14lift2_0.csv', 1]"
"['Tacc_S14squat1_0.csv', 14]"
"['Tacc_S14upper1_0.csv', 16]"
"['Tacc_S14pushup1_0.csv', 5]"
"['Tacc_S14upper2_0.csv', 5]"
"['Tacc_S14bridge2_0.csv', 17]"
"['Tacc_S14bridge1_0.csv', 15]"
"['Tacc_S14crunch1_0.csv', 9]"
"['Tacc_S14lift1_0.csv', 8]"
"['Tacc_S14crunch2_0.csv', 12]"
"['Tacc_S15crunch2_0.csv', 1]"
"['Tacc_S15squat2_0.csv', 12]"
"['Tacc_S15lift1_0.csv', 18]"
"['Tacc_S15bicep2_0.csv', 21]"
"['Tacc_S15bridge2_0.csv', 16]"
"['Tacc_S15upper2_0.csv', 13]"
"['Tacc_S15bicep1_0.csv', 17]"
"['Tacc_S15pushup2_0.csv', 4]"
"['Tacc_S15lunge2_0.csv', 21]"
"['Tacc_S15elbow2_0.csv', 9]"
"['Tacc_S15bridge1_0.csv', 11]"
"['Tacc_S15squat1_0.csv', 8]"
"['Tacc_S15arm2_0.csv', 0]"
